,file_name,author,attribution_required,license,license_URL
0,File:Short-beaked_echidna.ogv,GunjanPandey,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
1,File:Willowbank_Wildlife_Reserve_Video_mammal.ogv,Superchilum,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
2,File:Short_nosed_echidna.ogv,GunjanPandey,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
3,File:Red-winged-blackbird-mvnwr-alarm.ogv,Jnthnjng,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
4,File:Pinicola_enucleator_CT2.ogv,Cephas,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
5,File:Tringa_solitaria_CT.ogv,Cephas,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
6,File:Pinicola_enucleator_CT.ogv,Cephas,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
7,File:Spizella_arborea_CT.ogv,Cephas,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
8,File:Sam%C3%AFri_femelle_portant_un_petit.ogv,Shonagon,false,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en
9,File:Mona_monkey_Lagos_Nigeria.ogv,Zacharymccune,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
10,File:Jigokudani_Monkey_Park_-_hotsprings.ogv,Nesnad,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
11,File:Temple_monkey_sitting_on_a_wall.ogv,Cherubino,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
12,File:Ko_Phi_Phi_P1120712.ogv,Deror avi,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
13,File:Ko_Phi_Phi_P1120709.ogv,Deror avi,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
14,File:Miyajima_macaques_grooming.ogv,Gribeco,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
15,File:Procyon_lotor.ogv,Cephas,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
16,File:Dama_dama.ogv,Cephas,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
17,File:Wuppertal_-_Zoo_-_Aptenodytes_patagonicus_01_(0).ogv,Ies,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
18,File:Capybara_Ueno_Zoo_2009.ogv,Nesnad,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
19,File:Nyctereutes_procyonoides_viverrinus_-_Tobu_Zoo_-_2012.ogv,Nesnad,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
20,File:Wuppertal_-_Zoo_-_Loxodonta_africana_01_(1).ogv,Ies,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
21,File:Wuppertal_-_Zoo_-_Loxodonta_africana_02_(1).ogv,Ies,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
22,File:Wuppertal_-_Zoo_-_Elaphurus_davidianus_01_(1).ogv,Ies,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
23,File:Wuppertal_-_Zoo_-_Ursus_maritimus_02_(1).ogv,Ies,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
24,File:Wuppertal_-_Zoo_-_Rupicola_peruviana_01_(0).ogv,Ies,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
25,File:Yerevan_Zoo_19.ogv,Mostafameraji,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
